filename,x,y
3562572.jpg,-2.2174964,15.761185
0338556.jpg,3.8712978,-4.020118
0071890.jpg,-16.192612,-0.16640486
1773741.jpg,17.921465,-7.3534684
0050143.jpg,8.510011,0.17898378
0457875.jpg,10.445338,-4.2546053
1272013.jpg,0.9527788,3.1513293
3705412.jpg,-6.407847,-7.6082306
0064624.jpg,-3.4575624,-5.9507313
0084701.jpg,2.7360203,4.64006
0850709.jpg,-12.175459,-0.77642757
0094384.jpg,-11.2562065,8.8221035
0054934.jpg,1.4737084,16.649796
6803390.jpg,-9.773564,3.9832623
0044513.jpg,-0.39109215,-6.82305
0155267.jpg,9.016075,-4.25065
0000313.jpg,19.041199,2.4047027
1181791.jpg,19.753714,-7.030737
0044828.jpg,-3.300167,14.630617
1034302.jpg,4.254258,-6.5704103
0041450.jpg,-14.081235,-2.177163
0183649.jpg,9.751521,3.6285505
0418004.jpg,-1.1890907,-15.69835
0416185.jpg,-10.490499,6.3798237
0057889.jpg,-6.807376,-7.205867
0881909.jpg,-1.0556334,14.573154
0953456.jpg,6.3713665,-10.181503
0837800.jpg,-13.324828,6.1711903
0062311.jpg,-7.1581755,0.5760439
0024747.jpg,-0.541569,-12.922403
5111874.jpg,3.3041434,3.7932067
0054698.jpg,-3.5091846,15.149274
0118694.jpg,6.3328633,-5.9577136
0143353.jpg,13.749507,-8.068645
0059504.jpg,-4.6516514,-4.7685385
2752772.jpg,10.068332,-8.791304
0057007.jpg,4.594607,0.6076502
6186362.jpg,7.1992297,10.223256
1535492.jpg,18.00035,-5.8117733
1149400.jpg,20.043148,-6.143598
0323298.jpg,-3.9878337,-4.0604143
0105188.jpg,-6.698531,-1.7740755
4078252.jpg,-3.8311937,15.397578
1695831.jpg,9.110618,-13.860959
4447108.jpg,-14.880083,-6.793709
0101609.jpg,1.0296862,4.557151
1563725.jpg,15.135086,-6.7735476
1185235.jpg,18.543865,-5.528669
0012397.jpg,-11.285878,6.6710167
0471042.jpg,13.564974,-1.8875302
1608777.jpg,3.5872483,-4.0148687
1998393.jpg,-5.2290373,12.605544
0328300.jpg,-4.7782865,-7.51614
1587854.jpg,-4.457473,13.048137
1371585.jpg,19.440279,-4.590298
0050099.jpg,-8.986939,12.547569
0032610.jpg,-6.518049,6.6347604
0440270.jpg,5.2321963,9.203872
1453405.jpg,-7.3105083,-10.990427
0145681.jpg,21.819422,-4.5466027
0041094.jpg,-1.9030691,15.393023
2249221.jpg,-7.0188794,-5.2455945
0166204.jpg,-13.383301,10.926423
0086525.jpg,2.8183928,4.3824663
0064860.jpg,-5.829492,-3.3975499
0054903.jpg,-13.522428,1.8035878
0038071.jpg,-9.281536,-7.151953
0362449.jpg,-3.9040532,-7.1198463
2357770.jpg,-16.588585,6.2147913
0070468.jpg,-4.6457415,-5.998831
0056063.jpg,-8.906774,-4.072423
3839880.jpg,0.55430305,-7.46313
0091820.jpg,-11.396207,-1.7916924
0061180.jpg,-1.3194047,-13.267668
0087336.jpg,5.90273,-1.6221669
0929441.jpg,3.0814564,4.331099
3407428.jpg,4.4504356,7.3093276
0344273.jpg,-5.297241,-9.236991
0102574.jpg,-10.755598,-3.6042688
0081746.jpg,3.8501768,-7.285217
0061643.jpg,9.463004,-6.436143
5269560.jpg,-4.6817017,-5.638624
6159734.jpg,-14.965946,10.990788
0790712.jpg,-6.467405,-4.3540735
0063568.jpg,-3.9421973,16.845535
0248271.jpg,2.0488164,6.041234
0116502.jpg,-11.371396,0.73062813
1932695.jpg,2.4389231,3.1695206
0032311.jpg,-8.689222,-10.44241
6452332.jpg,7.1637506,7.8972907
0087050.jpg,-8.730011,6.3996935
0023196.jpg,-7.157705,-1.4757316
0116282.jpg,-8.621358,-6.690582
0396630.jpg,-5.9255075,-5.388514
2204080.jpg,-3.5391884,-6.826158
0118966.jpg,3.1977055,-1.9399595
1690140.jpg,-3.8591142,-4.5514426
0060438.jpg,-5.297676,-4.2698674
0211941.jpg,-9.57878,6.5039515
0130444.jpg,21.109713,-4.895976
0062310.jpg,-3.69231,15.716796
0069273.jpg,-10.566181,-5.9927053
0361715.jpg,-11.651342,6.82687
0088200.jpg,16.373945,-5.604644
4848010.jpg,-3.6091058,-15.050232
0044796.jpg,-6.3614206,15.30046
6782708.jpg,-0.44717276,-6.1843524
0049173.jpg,11.575963,-7.6868773
0208903.jpg,-7.1512766,-7.0059004
6290024.jpg,9.488128,-7.7768207
0292963.jpg,-4.8817625,-5.5871444
0117959.jpg,14.384087,5.437903
8621562.jpg,-1.1614374,17.676153
0050128.jpg,0.33951157,16.649813
0033998.jpg,-14.886927,12.0250635
0034092.jpg,-6.777172,12.727781
1954780.jpg,-5.294222,-11.498802
0029864.jpg,15.082707,5.4414425
0313532.jpg,15.09929,-2.9997118
1429433.jpg,-1.437677,-5.037185
2870756.jpg,-3.2482803,17.003357
1107828.jpg,-11.996363,-0.91604245
0181012.jpg,12.079234,3.5777678
0063051.jpg,-3.1841574,-4.068139
0309121.jpg,3.4359362,-11.74433
0977642.jpg,16.510355,-6.3748555
0073213.jpg,-14.926393,10.743011
0060268.jpg,0.8363662,-3.0005405
0054407.jpg,10.3843775,-8.539311
1404661.jpg,1.6827826,-8.072693
0016690.jpg,-15.249946,6.9249134
0227866.jpg,-5.9823203,4.191091
7308198.jpg,6.013746,-10.864306
0091682.jpg,-3.1168008,16.334343
0049110.jpg,19.042591,-6.9655066
0351867.jpg,17.32154,-6.990321
0042033.jpg,-15.831528,1.7351336
0134273.jpg,5.2281647,9.692824
0373883.jpg,19.588959,-4.251924
0284320.jpg,-9.021754,-6.5832157
0026941.jpg,-10.254289,11.760942
0248661.jpg,13.091416,6.108357
0021664.jpg,8.73489,-9.759739
0052950.jpg,-14.433883,10.497352
0436689.jpg,-3.912984,-5.3663616
0343112.jpg,19.054209,2.397684
0126004.jpg,13.92366,-6.8673735
0034846.jpg,-6.8015475,14.006508
0028665.jpg,0.48206744,-3.2148561
0071615.jpg,-1.4245293,15.394875
2614722.jpg,18.405766,-5.5686235
0071396.jpg,-1.0775489,-3.0943108
0068281.jpg,-9.830524,6.1388855
0084735.jpg,-9.618582,6.183756
1727506.jpg,-2.6231558,-9.466851
1686027.jpg,11.523383,-6.5647664
